starting_number,sequence_length,max_value,steps_to_peak,total_steps,peak_value,execution_time,timestamp
345,126,9232,91,125,9232,1.7881393432617188e-05,2025-09-02 21:49:00.208451
346,33,520,2,32,520,5.0067901611328125e-06,2025-09-02 21:49:00.208458
347,126,9232,91,125,9232,1.6927719116210938e-05,2025-09-02 21:49:00.208482
348,33,592,7,32,592,0.0009980201721191406,2025-09-02 21:49:00.209486
349,33,1048,1,32,1048,5.245208740234375e-06,2025-09-02 21:49:00.209496
350,82,9232,47,81,9232,1.2874603271484375e-05,2025-09-02 21:49:00.209513
351,82,9232,47,81,9232,1.2159347534179688e-05,2025-09-02 21:49:00.209529
352,20,352,0,19,352,2.86102294921875e-06,2025-09-02 21:49:00.209534
353,126,9232,91,125,9232,1.9073486328125e-05,2025-09-02 21:49:00.209558
354,33,532,2,32,532,4.76837158203125e-06,2025-09-02 21:49:00.209566
355,33,1600,3,32,1600,5.0067901611328125e-06,2025-09-02 21:49:00.209573
356,33,356,0,32,356,4.0531158447265625e-06,2025-09-02 21:49:00.209581
357,33,1072,1,32,1072,4.76837158203125e-06,2025-09-02 21:49:00.209588
358,33,808,4,32,808,5.0067901611328125e-06,2025-09-02 21:49:00.209595
359,51,9232,16,50,9232,8.106231689453125e-06,2025-09-02 21:49:00.209606
360,20,360,0,19,360,3.0994415283203125e-06,2025-09-02 21:49:00.209611
361,46,2752,10,45,2752,5.7220458984375e-06,2025-09-02 21:49:00.209620
362,20,544,2,19,544,3.0994415283203125e-06,2025-09-02 21:49:00.209625
363,46,1636,3,45,1636,6.198883056640625e-06,2025-09-02 21:49:00.209635
364,95,9232,60,94,9232,1.3589859008789062e-05,2025-09-02 21:49:00.209654
365,95,9232,60,94,9232,1.4066696166992188e-05,2025-09-02 21:49:00.209672
366,95,9232,60,94,9232,1.4066696166992188e-05,2025-09-02 21:49:00.209690
367,46,4192,12,45,4192,5.9604644775390625e-06,2025-09-02 21:49:00.209700
368,20,368,0,19,368,3.0994415283203125e-06,2025-09-02 21:49:00.209706
369,20,1108,1,19,1108,3.0994415283203125e-06,2025-09-02 21:49:00.209711
370,46,628,7,45,628,5.9604644775390625e-06,2025-09-02 21:49:00.209721
371,46,1672,3,45,1672,6.9141387939453125e-06,2025-09-02 21:49:00.209730
372,20,372,0,19,372,2.86102294921875e-06,2025-09-02 21:49:00.209736
373,20,1120,1,19,1120,1.9073486328125e-06,2025-09-02 21:49:00.209741
374,46,952,9,45,952,5.9604644775390625e-06,2025-09-02 21:49:00.209751
375,46,2536,5,45,2536,6.9141387939453125e-06,2025-09-02 21:49:00.209760
376,108,9232,73,107,9232,1.5735626220703125e-05,2025-09-02 21:49:00.209781
377,64,9232,29,63,9232,7.867813110351562e-06,2025-09-02 21:49:00.209793
378,108,9232,73,107,9232,1.5020370483398438e-05,2025-09-02 21:49:00.209814
379,59,2752,23,58,2752,7.867813110351562e-06,2025-09-02 21:49:00.209826
380,108,9232,73,107,9232,1.5735626220703125e-05,2025-09-02 21:49:00.209847
381,108,9232,73,107,9232,1.4781951904296875e-05,2025-09-02 21:49:00.209867
382,46,4372,12,45,4372,6.9141387939453125e-06,2025-09-02 21:49:00.209876
383,46,13120,13,45,13120,5.9604644775390625e-06,2025-09-02 21:49:00.209885
384,15,384,0,14,384,1.9073486328125e-06,2025-09-02 21:49:00.209890
385,33,1156,1,32,1156,4.76837158203125e-06,2025-09-02 21:49:00.209898
386,121,9232,86,120,9232,1.7881393432617188e-05,2025-09-02 21:49:00.209921
387,121,9232,86,120,9232,1.6927719116210938e-05,2025-09-02 21:49:00.209944
388,121,9232,86,120,9232,1.6927719116210938e-05,2025-09-02 21:49:00.209967
389,121,9232,86,120,9232,1.6927719116210938e-05,2025-09-02 21:49:00.209989
390,121,9232,86,120,9232,2.288818359375e-05,2025-09-02 21:49:00.210018
391,121,9232,86,120,9232,1.6927719116210938e-05,2025-09-02 21:49:00.210041
392,28,392,0,27,392,4.0531158447265625e-06,2025-09-02 21:49:00.210047
393,59,2248,13,58,2248,7.867813110351562e-06,2025-09-02 21:49:00.210058
394,28,592,2,27,592,3.0994415283203125e-06,2025-09-02 21:49:00.210065
395,77,9232,42,76,9232,1.0967254638671875e-05,2025-09-02 21:49:00.210079
396,28,448,5,27,448,4.0531158447265625e-06,2025-09-02 21:49:00.210086
397,28,1192,1,27,1192,4.0531158447265625e-06,2025-09-02 21:49:00.210093
398,121,9232,86,120,9232,1.811981201171875e-05,2025-09-02 21:49:00.210116
399,121,9232,86,120,9232,1.8358230590820312e-05,2025-09-02 21:49:00.210140
400,28,400,0,27,400,4.0531158447265625e-06,2025-09-02 21:49:00.210146
401,20,1204,1,19,1204,2.86102294921875e-06,2025-09-02 21:49:00.210173
402,20,1024,9,19,1024,4.291534423828125e-06,2025-09-02 21:49:00.210200
403,20,1816,3,19,1816,2.6226043701171875e-06,2025-09-02 21:49:00.210207
404,28,404,0,27,404,4.0531158447265625e-06,2025-09-02 21:49:00.210213
405,28,1216,1,27,1216,4.0531158447265625e-06,2025-09-02 21:49:00.210219
406,41,916,4,40,916,4.76837158203125e-06,2025-09-02 21:49:00.210228
407,41,2752,5,40,2752,5.9604644775390625e-06,2025-09-02 21:49:00.210236
408,28,408,0,27,408,4.0531158447265625e-06,2025-09-02 21:49:00.210242
409,41,1384,6,40,1384,5.9604644775390625e-06,2025-09-02 21:49:00.210251
410,28,616,2,27,616,3.814697265625e-06,2025-09-02 21:49:00.210257
411,134,9232,99,133,9232,2.8133392333984375e-05,2025-09-02 21:49:00.210290
412,90,9232,55,89,9232,1.2159347534179688e-05,2025-09-02 21:49:00.210307
413,90,9232,55,89,9232,1.2874603271484375e-05,2025-09-02 21:49:00.210324
414,90,9232,55,89,9232,1.0967254638671875e-05,2025-09-02 21:49:00.210340
415,134,9232,99,133,9232,1.6689300537109375e-05,2025-09-02 21:49:00.210361
416,15,416,0,14,416,2.6226043701171875e-06,2025-09-02 21:49:00.210365
417,134,9232,99,133,9232,1.71661376953125e-05,2025-09-02 21:49:00.210387
418,41,628,2,40,628,5.245208740234375e-06,2025-09-02 21:49:00.210394
419,41,1888,3,40,1888,4.0531158447265625e-06,2025-09-02 21:49:00.210400
420,41,808,12,40,808,4.76837158203125e-06,2025-09-02 21:49:00.210407
421,41,1264,1,40,1264,5.0067901611328125e-06,2025-09-02 21:49:00.210414
422,41,952,4,40,952,4.76837158203125e-06,2025-09-02 21:49:00.210422
423,33,3220,10,32,3220,3.814697265625e-06,2025-09-02 21:49:00.210428
424,15,424,0,14,424,1.9073486328125e-06,2025-09-02 21:49:00.210432
425,59,9232,24,58,9232,7.867813110351562e-06,2025-09-02 21:49:00.210443
426,15,640,2,14,640,2.1457672119140625e-06,2025-09-02 21:49:00.210446
427,54,2752,18,53,2752,6.9141387939453125e-06,2025-09-02 21:49:00.210455
428,103,9232,68,102,9232,1.2874603271484375e-05,2025-09-02 21:49:00.210472
429,103,9232,68,102,9232,1.1920928955078125e-05,2025-09-02 21:49:00.210488
430,103,9232,68,102,9232,1.2159347534179688e-05,2025-09-02 21:49:00.210504
431,41,4372,7,40,4372,5.0067901611328125e-06,2025-09-02 21:49:00.210511
432,116,9232,81,115,9232,1.4066696166992188e-05,2025-09-02 21:49:00.210529
433,28,1300,1,27,1300,3.814697265625e-06,2025-09-02 21:49:00.210535
434,28,736,7,27,736,3.0994415283203125e-06,2025-09-02 21:49:00.210541
435,28,1960,3,27,1960,2.86102294921875e-06,2025-09-02 21:49:00.210546
436,116,9232,81,115,9232,1.3113021850585938e-05,2025-09-02 21:49:00.210564
437,116,9232,81,115,9232,1.3113021850585938e-05,2025-09-02 21:49:00.210583
438,54,1672,11,53,1672,5.7220458984375e-06,2025-09-02 21:49:00.210592
439,54,2968,5,53,2968,6.9141387939453125e-06,2025-09-02 21:49:00.210601
440,116,9232,81,115,9232,1.4066696166992188e-05,2025-09-02 21:49:00.210619
441,28,1492,6,27,1492,4.0531158447265625e-06,2025-09-02 21:49:00.210625
442,116,9232,81,115,9232,1.3828277587890625e-05,2025-09-02 21:49:00.210644
443,54,2248,8,53,2248,5.9604644775390625e-06,2025-09-02 21:49:00.210653
444,72,9232,37,71,9232,8.821487426757812e-06,2025-09-02 21:49:00.210665
445,72,9232,37,71,9232,7.867813110351562e-06,2025-09-02 21:49:00.210676
446,72,9232,37,71,9232,7.867813110351562e-06,2025-09-02 21:49:00.210688
447,98,39364,53,97,39364,1.1920928955078125e-05,2025-09-02 21:49:00.210703
448,23,448,0,22,448,2.1457672119140625e-06,2025-09-02 21:49:00.210708
449,116,9232,81,115,9232,2.6941299438476562e-05,2025-09-02 21:49:00.210740
450,54,4372,20,53,4372,6.9141387939453125e-06,2025-09-02 21:49:00.210752
451,54,4372,20,53,4372,5.9604644775390625e-06,2025-09-02 21:49:00.210761
452,15,452,0,14,452,1.9073486328125e-06,2025-09-02 21:49:00.210764
453,15,1360,1,14,1360,1.9073486328125e-06,2025-09-02 21:49:00.210768
454,15,1024,4,14,1024,1.9073486328125e-06,2025-09-02 21:49:00.210772
455,41,3076,5,40,3076,5.0067901611328125e-06,2025-09-02 21:49:00.210779
456,36,456,0,35,456,4.0531158447265625e-06,2025-09-02 21:49:00.210785
457,129,9232,94,128,9232,1.5735626220703125e-05,2025-09-02 21:49:00.210806
458,36,688,2,35,688,3.814697265625e-06,2025-09-02 21:49:00.210813
459,129,9232,94,128,9232,1.5974044799804688e-05,2025-09-02 21:49:00.210833
460,36,520,5,35,520,3.0994415283203125e-06,2025-09-02 21:49:00.210839
461,36,1384,1,35,1384,3.814697265625e-06,2025-09-02 21:49:00.210846
462,129,9232,94,128,9232,1.52587890625e-05,2025-09-02 21:49:00.210865
463,129,9232,94,128,9232,2.193450927734375e-05,2025-09-02 21:49:00.210893
464,23,464,0,22,464,2.86102294921875e-06,2025-09-02 21:49:00.210898
465,36,1396,1,35,1396,5.245208740234375e-06,2025-09-02 21:49:00.210905
466,85,9232,50,84,9232,1.2874603271484375e-05,2025-09-02 21:49:00.210921
467,85,9232,50,84,9232,1.0013580322265625e-05,2025-09-02 21:49:00.210934
468,23,468,0,22,468,1.9073486328125e-06,2025-09-02 21:49:00.210938
469,23,1408,1,22,1408,2.1457672119140625e-06,2025-09-02 21:49:00.210943
470,129,9232,94,128,9232,1.52587890625e-05,2025-09-02 21:49:00.210963
471,129,9232,94,128,9232,1.5020370483398438e-05,2025-09-02 21:49:00.210983
472,36,472,0,35,472,4.0531158447265625e-06,2025-09-02 21:49:00.210989
473,36,1600,6,35,1600,2.6226043701171875e-06,2025-09-02 21:49:00.210994
474,36,712,2,35,712,4.0531158447265625e-06,2025-09-02 21:49:00.211001
475,28,3616,10,27,3616,3.814697265625e-06,2025-09-02 21:49:00.211007
476,36,808,7,35,808,4.0531158447265625e-06,2025-09-02 21:49:00.211014
477,36,1432,1,35,1432,4.0531158447265625e-06,2025-09-02 21:49:00.211020
478,54,9232,19,53,9232,5.9604644775390625e-06,2025-09-02 21:49:00.211029
479,54,9232,19,53,9232,6.9141387939453125e-06,2025-09-02 21:49:00.211038
480,23,480,0,22,480,2.1457672119140625e-06,2025-09-02 21:49:00.211043
481,49,2752,13,48,2752,5.9604644775390625e-06,2025-09-02 21:49:00.211051
482,23,724,2,22,724,3.0994415283203125e-06,2025-09-02 21:49:00.211056
483,23,2176,3,22,2176,3.0994415283203125e-06,2025-09-02 21:49:00.211060
484,98,9232,63,97,9232,1.1920928955078125e-05,2025-09-02 21:49:00.211076
485,98,9232,63,97,9232,1.2636184692382812e-05,2025-09-02 21:49:00.211093
486,98,9232,63,97,9232,1.2159347534179688e-05,2025-09-02 21:49:00.211109
487,142,9232,107,141,9232,1.71661376953125e-05,2025-09-02 21:49:00.211131
488,23,488,0,22,488,2.1457672119140625e-06,2025-09-02 21:49:00.211135
489,49,4192,15,48,4192,5.7220458984375e-06,2025-09-02 21:49:00.211143
490,23,736,2,22,736,3.0994415283203125e-06,2025-09-02 21:49:00.211147
491,142,9232,107,141,9232,1.9073486328125e-05,2025-09-02 21:49:00.211171
492,49,628,10,48,628,5.0067901611328125e-06,2025-09-02 21:49:00.211179
493,49,1480,1,48,1480,5.9604644775390625e-06,2025-09-02 21:49:00.211188
494,49,1672,6,48,1672,5.0067901611328125e-06,2025-09-02 21:49:00.211196
495,98,14308,21,97,14308,1.0967254638671875e-05,2025-09-02 21:49:00.211210
496,111,9232,76,110,9232,2.4080276489257812e-05,2025-09-02 21:49:00.211239
497,23,1492,1,22,1492,3.0994415283203125e-06,2025-09-02 21:49:00.211244
498,49,952,12,48,952,5.9604644775390625e-06,2025-09-02 21:49:00.211253
499,49,2248,3,48,2248,4.76837158203125e-06,2025-09-02 21:49:00.211261
500,111,9232,76,110,9232,1.4066696166992188e-05,2025-09-02 21:49:00.211280
501,111,9232,76,110,9232,1.4781951904296875e-05,2025-09-02 21:49:00.211330
502,67,9232,32,66,9232,8.106231689453125e-06,2025-09-02 21:49:00.211342
503,67,9232,32,66,9232,8.106231689453125e-06,2025-09-02 21:49:00.211353
504,111,9232,76,110,9232,1.2874603271484375e-05,2025-09-02 21:49:00.211371
505,62,2752,26,61,2752,6.9141387939453125e-06,2025-09-02 21:49:00.211381
506,111,9232,76,110,9232,1.4066696166992188e-05,2025-09-02 21:49:00.211399
507,36,2896,13,35,2896,5.0067901611328125e-06,2025-09-02 21:49:00.211406
508,49,4372,15,48,4372,1.9788742065429688e-05,2025-09-02 21:49:00.211429
509,49,4372,15,48,4372,6.198883056640625e-06,2025-09-02 21:49:00.211437
510,49,13120,16,48,13120,5.7220458984375e-06,2025-09-02 21:49:00.211445
511,62,39364,17,61,39364,6.9141387939453125e-06,2025-09-02 21:49:00.211455
512,10,512,0,9,512,1.9073486328125e-06,2025-09-02 21:49:00.211459
513,36,1540,1,35,1540,4.76837158203125e-06,2025-09-02 21:49:00.211466
514,124,9232,89,123,9232,1.5020370483398438e-05,2025-09-02 21:49:00.211486
515,124,9232,89,123,9232,1.5020370483398438e-05,2025-09-02 21:49:00.211505
516,124,9232,89,123,9232,1.5020370483398438e-05,2025-09-02 21:49:00.211524
517,124,9232,89,123,9232,1.4781951904296875e-05,2025-09-02 21:49:00.211543
518,124,9232,89,123,9232,2.7894973754882812e-05,2025-09-02 21:49:00.211576
519,62,3508,5,61,3508,6.9141387939453125e-06,2025-09-02 21:49:00.211586
520,31,520,0,30,520,2.6226043701171875e-06,2025-09-02 21:49:00.211591
521,124,9232,89,123,9232,1.9073486328125e-05,2025-09-02 21:49:00.211616
522,31,784,2,30,784,2.86102294921875e-06,2025-09-02 21:49:00.211623
523,124,9232,89,123,9232,1.5020370483398438e-05,2025-09-02 21:49:00.211643
524,31,592,5,30,592,4.0531158447265625e-06,2025-09-02 21:49:00.211649
525,31,1576,1,30,1576,3.0994415283203125e-06,2025-09-02 21:49:00.211654
526,80,9232,45,79,9232,1.0013580322265625e-05,2025-09-02 21:49:00.211667
527,80,9232,45,79,9232,1.0013580322265625e-05,2025-09-02 21:49:00.211680
528,31,528,0,30,528,4.0531158447265625e-06,2025-09-02 21:49:00.211694
529,31,1588,1,30,1588,2.6226043701171875e-06,2025-09-02 21:49:00.211699
530,124,9232,89,123,9232,1.621246337890625e-05,2025-09-02 21:49:00.211720
531,124,9232,89,123,9232,1.5020370483398438e-05,2025-09-02 21:49:00.211739
532,31,532,0,30,532,4.0531158447265625e-06,2025-09-02 21:49:00.211745
533,31,1600,1,30,1600,3.814697265625e-06,2025-09-02 21:49:00.211750
534,23,1204,4,22,1204,3.0994415283203125e-06,2025-09-02 21:49:00.211755
535,23,3616,5,22,3616,3.0994415283203125e-06,2025-09-02 21:49:00.211760
536,31,536,0,30,536,2.86102294921875e-06,2025-09-02 21:49:00.211765
537,23,1816,6,22,1816,1.0013580322265625e-05,2025-09-02 21:49:00.211777
538,31,808,2,30,808,3.814697265625e-06,2025-09-02 21:49:00.211783
539,49,9232,14,48,9232,5.245208740234375e-06,2025-09-02 21:49:00.211791
540,44,916,7,43,916,5.245208740234375e-06,2025-09-02 21:49:00.211798
541,44,1624,1,43,1624,4.76837158203125e-06,2025-09-02 21:49:00.211805
542,44,2752,8,43,2752,5.0067901611328125e-06,2025-09-02 21:49:00.211812
543,137,9232,102,136,9232,1.7881393432617188e-05,2025-09-02 21:49:00.211834
544,18,544,0,17,544,3.0994415283203125e-06,2025-09-02 21:49:00.211839
545,44,1636,1,43,1636,5.245208740234375e-06,2025-09-02 21:49:00.211846
546,31,820,2,30,820,3.0994415283203125e-06,2025-09-02 21:49:00.211851
547,31,2464,3,30,2464,3.814697265625e-06,2025-09-02 21:49:00.211857
548,93,9232,58,92,9232,1.0967254638671875e-05,2025-09-02 21:49:00.211872
549,93,9232,58,92,9232,1.0967254638671875e-05,2025-09-02 21:49:00.211887
550,93,9232,58,92,9232,1.0013580322265625e-05,2025-09-02 21:49:00.211901
551,44,4192,10,43,4192,5.245208740234375e-06,2025-09-02 21:49:00.211909
552,18,552,0,17,552,2.1457672119140625e-06,2025-09-02 21:49:00.211912
553,137,9232,102,136,9232,2.7179718017578125e-05,2025-09-02 21:49:00.211944
554,18,832,2,17,832,1.9073486328125e-06,2025-09-02 21:49:00.211949
555,31,2500,3,30,2500,3.814697265625e-06,2025-09-02 21:49:00.211954
556,44,628,5,43,628,5.0067901611328125e-06,2025-09-02 21:49:00.211962
557,44,1672,1,43,1672,5.0067901611328125e-06,2025-09-02 21:49:00.211969
558,44,1888,6,43,1888,4.76837158203125e-06,2025-09-02 21:49:00.211976
559,88,8080,22,87,8080,1.0967254638671875e-05,2025-09-02 21:49:00.211990
560,18,560,0,17,560,1.9073486328125e-06,2025-09-02 21:49:00.211994
561,44,1684,1,43,1684,5.0067901611328125e-06,2025-09-02 21:49:00.212001
562,44,952,7,43,952,4.76837158203125e-06,2025-09-02 21:49:00.212009
563,44,2536,3,43,2536,5.245208740234375e-06,2025-09-02 21:49:00.212016
564,18,564,0,17,564,3.0994415283203125e-06,2025-09-02 21:49:00.212021
565,18,1696,1,17,1696,1.9073486328125e-06,2025-09-02 21:49:00.212025
566,62,9232,27,61,9232,6.9141387939453125e-06,2025-09-02 21:49:00.212035
567,62,9232,27,61,9232,6.9141387939453125e-06,2025-09-02 21:49:00.212045
568,106,9232,71,105,9232,1.1920928955078125e-05,2025-09-02 21:49:00.212061
569,57,2752,21,56,2752,6.198883056640625e-06,2025-09-02 21:49:00.212070
570,106,9232,71,105,9232,1.1920928955078125e-05,2025-09-02 21:49:00.212087
571,31,2896,8,30,2896,2.86102294921875e-06,2025-09-02 21:49:00.212092
572,106,9232,71,105,9232,1.4066696166992188e-05,2025-09-02 21:49:00.212110
573,106,9232,71,105,9232,2.09808349609375e-05,2025-09-02 21:49:00.212135
574,44,4372,10,43,4372,5.0067901611328125e-06,2025-09-02 21:49:00.212143
575,44,13120,11,43,13120,4.76837158203125e-06,2025-09-02 21:49:00.212150
576,26,576,0,25,576,3.814697265625e-06,2025-09-02 21:49:00.212155
577,31,1732,1,30,1732,4.291534423828125e-06,2025-09-02 21:49:00.212161
578,31,868,2,30,868,3.814697265625e-06,2025-09-02 21:49:00.212167
579,31,2608,3,30,2608,4.0531158447265625e-06,2025-09-02 21:49:00.212173
580,119,9232,84,118,9232,1.3828277587890625e-05,2025-09-02 21:49:00.212191
581,119,9232,84,118,9232,1.4066696166992188e-05,2025-09-02 21:49:00.212209
582,119,9232,84,118,9232,1.5020370483398438e-05,2025-09-02 21:49:00.212228
583,31,3940,5,30,3940,4.0531158447265625e-06,2025-09-02 21:49:00.212234
584,119,9232,84,118,9232,2.4080276489257812e-05,2025-09-02 21:49:00.212330
585,57,2968,8,56,2968,6.9141387939453125e-06,2025-09-02 21:49:00.212340
586,119,9232,84,118,9232,5.888938903808594e-05,2025-09-02 21:49:00.212405
587,119,9232,84,118,9232,1.4781951904296875e-05,2025-09-02 21:49:00.212425
588,119,9232,84,118,9232,1.4066696166992188e-05,2025-09-02 21:49:00.212444
589,119,9232,84,118,9232,1.4066696166992188e-05,2025-09-02 21:49:00.212462
590,57,2248,11,56,2248,6.9141387939453125e-06,2025-09-02 21:49:00.212471
591,57,5992,7,56,5992,5.9604644775390625e-06,2025-09-02 21:49:00.212480
592,26,592,0,25,592,3.0994415283203125e-06,2025-09-02 21:49:00.212484
593,75,9232,40,74,9232,9.059906005859375e-06,2025-09-02 21:49:00.212496
594,75,9232,40,74,9232,8.821487426757812e-06,2025-09-02 21:49:00.212508
595,75,9232,40,74,9232,8.106231689453125e-06,2025-09-02 21:49:00.212520
596,26,596,0,25,596,2.86102294921875e-06,2025-09-02 21:49:00.212525
597,26,1792,1,25,1792,2.1457672119140625e-06,2025-09-02 21:49:00.212529
598,119,9232,84,118,9232,2.6226043701171875e-05,2025-09-02 21:49:00.212559
599,119,9232,84,118,9232,1.5020370483398438e-05,2025-09-02 21:49:00.212577
600,18,600,0,17,600,2.1457672119140625e-06,2025-09-02 21:49:00.212581
601,57,4372,23,56,4372,5.9604644775390625e-06,2025-09-02 21:49:00.212631
602,18,904,2,17,904,1.9073486328125e-06,2025-09-02 21:49:00.212637
603,70,5812,20,69,5812,7.152557373046875e-06,2025-09-02 21:49:00.212647
604,18,1024,7,17,1024,2.1457672119140625e-06,2025-09-02 21:49:00.212651
605,18,1816,1,17,1816,3.0994415283203125e-06,2025-09-02 21:49:00.212655
606,44,3076,8,43,3076,4.76837158203125e-06,2025-09-02 21:49:00.212680
607,44,9232,9,43,9232,5.0067901611328125e-06,2025-09-02 21:49:00.212687
608,26,608,0,25,608,2.86102294921875e-06,2025-09-02 21:49:00.212692
609,132,9232,97,131,9232,1.5020370483398438e-05,2025-09-02 21:49:00.212712
610,39,916,2,38,916,4.0531158447265625e-06,2025-09-02 21:49:00.212718
611,39,2752,3,38,2752,3.814697265625e-06,2025-09-02 21:49:00.212724
612,39,612,0,38,612,4.0531158447265625e-06,2025-09-02 21:49:00.212730
613,39,1840,1,38,1840,4.0531158447265625e-06,2025-09-02 21:49:00.212736
614,39,1384,4,38,1384,4.76837158203125e-06,2025-09-02 21:49:00.212743
615,70,10528,14,69,10528,7.152557373046875e-06,2025-09-02 21:49:00.212753
616,26,616,0,25,616,1.9073486328125e-06,2025-09-02 21:49:00.212757
617,132,9232,97,131,9232,2.4080276489257812e-05,2025-09-02 21:49:00.212785
618,26,928,2,25,928,2.1457672119140625e-06,2025-09-02 21:49:00.212790
619,132,9232,97,131,9232,1.5020370483398438e-05,2025-09-02 21:49:00.212809
620,88,9232,53,87,9232,1.0013580322265625e-05,2025-09-02 21:49:00.212822
621,88,9232,53,87,9232,9.775161743164062e-06,2025-09-02 21:49:00.212835
622,88,9232,53,87,9232,1.0013580322265625e-05,2025-09-02 21:49:00.212848
623,132,9232,97,131,9232,1.621246337890625e-05,2025-09-02 21:49:00.212868
624,39,624,0,38,624,4.0531158447265625e-06,2025-09-02 21:49:00.212875
625,26,1876,1,25,1876,3.0994415283203125e-06,2025-09-02 21:49:00.212880
626,132,9232,97,131,9232,1.52587890625e-05,2025-09-02 21:49:00.212900
627,132,9232,97,131,9232,2.384185791015625e-05,2025-09-02 21:49:00.212929
628,39,628,0,38,628,3.814697265625e-06,2025-09-02 21:49:00.212935
629,39,1888,1,38,1888,5.245208740234375e-06,2025-09-02 21:49:00.212941
630,39,1600,9,38,1600,3.814697265625e-06,2025-09-02 21:49:00.212949
631,39,4264,5,38,4264,5.0067901611328125e-06,2025-09-02 21:49:00.212956
632,39,808,10,38,808,4.0531158447265625e-06,2025-09-02 21:49:00.212962
633,31,3616,13,30,3616,2.86102294921875e-06,2025-09-02 21:49:00.212967
634,39,952,2,38,952,4.0531158447265625e-06,2025-09-02 21:49:00.212974
635,31,3220,8,30,3220,2.86102294921875e-06,2025-09-02 21:49:00.212979
636,57,9232,22,56,9232,6.9141387939453125e-06,2025-09-02 21:49:00.212989
637,57,9232,22,56,9232,5.9604644775390625e-06,2025-09-02 21:49:00.212998
638,57,9232,22,56,9232,6.198883056640625e-06,2025-09-02 21:49:00.213007
639,132,41524,25,131,41524,1.5974044799804688e-05,2025-09-02 21:49:00.213027
640,13,640,0,12,640,9.5367431640625e-07,2025-09-02 21:49:00.213030
641,52,2752,16,51,2752,6.198883056640625e-06,2025-09-02 21:49:00.213039
642,26,964,2,25,964,1.9073486328125e-06,2025-09-02 21:49:00.213043
643,26,2896,3,25,2896,3.0994415283203125e-06,2025-09-02 21:49:00.213049
644,101,9232,66,100,9232,1.0967254638671875e-05,2025-09-02 21:49:00.213064
645,101,9232,66,100,9232,1.52587890625e-05,2025-09-02 21:49:00.213083
646,101,9232,66,100,9232,1.0967254638671875e-05,2025-09-02 21:49:00.213098
647,39,4372,5,38,4372,5.0067901611328125e-06,2025-09-02 21:49:00.213105
648,26,648,0,25,648,3.0994415283203125e-06,2025-09-02 21:49:00.213110
649,145,9232,110,144,9232,1.6927719116210938e-05,2025-09-02 21:49:00.213132
650,26,976,2,25,976,2.86102294921875e-06,2025-09-02 21:49:00.213137
651,101,9232,66,100,9232,1.0967254638671875e-05,2025-09-02 21:49:00.213151
652,26,736,5,25,736,3.0994415283203125e-06,2025-09-02 21:49:00.213156
653,26,1960,1,25,1960,1.6689300537109375e-06,2025-09-02 21:49:00.213160
654,145,9232,110,144,9232,2.9802322387695312e-05,2025-09-02 21:49:00.213195
655,145,9232,110,144,9232,2.09808349609375e-05,2025-09-02 21:49:00.213221
656,114,9232,79,113,9232,1.2159347534179688e-05,2025-09-02 21:49:00.213238
657,52,1972,1,51,1972,5.0067901611328125e-06,2025-09-02 21:49:00.213245
658,52,1672,9,51,1672,6.198883056640625e-06,2025-09-02 21:49:00.213253
659,52,2968,3,51,2968,5.9604644775390625e-06,2025-09-02 21:49:00.213261
660,114,9232,79,113,9232,1.1920928955078125e-05,2025-09-02 21:49:00.213278
661,114,9232,79,113,9232,1.1920928955078125e-05,2025-09-02 21:49:00.213294
662,26,1492,4,25,1492,2.6226043701171875e-06,2025-09-02 21:49:00.213299
663,26,4480,5,25,4480,3.0994415283203125e-06,2025-09-02 21:49:00.213304
664,114,9232,79,113,9232,1.2159347534179688e-05,2025-09-02 21:49:00.213320
665,52,2248,6,51,2248,6.198883056640625e-06,2025-09-02 21:49:00.213328
666,114,9232,79,113,9232,1.3113021850585938e-05,2025-09-02 21:49:00.213345
667,145,21688,26,144,21688,2.3126602172851562e-05,2025-09-02 21:49:00.213372
668,70,9232,35,69,9232,7.152557373046875e-06,2025-09-02 21:49:00.213383
669,70,9232,35,69,9232,7.867813110351562e-06,2025-09-02 21:49:00.213394
670,70,9232,35,69,9232,8.106231689453125e-06,2025-09-02 21:49:00.213405
671,96,39364,51,95,39364,1.0013580322265625e-05,2025-09-02 21:49:00.213419
672,13,672,0,12,672,1.1920928955078125e-06,2025-09-02 21:49:00.213422
673,65,2752,29,64,2752,6.9141387939453125e-06,2025-09-02 21:49:00.213431
674,114,9232,79,113,9232,1.2874603271484375e-05,2025-09-02 21:49:00.213449
675,114,9232,79,113,9232,1.2159347534179688e-05,2025-09-02 21:49:00.213465
676,52,4372,18,51,4372,4.76837158203125e-06,2025-09-02 21:49:00.213473
677,52,4372,18,51,4372,1.4066696166992188e-05,2025-09-02 21:49:00.213489
678,52,4372,18,51,4372,5.0067901611328125e-06,2025-09-02 21:49:00.213498
679,65,5812,15,64,5812,7.152557373046875e-06,2025-09-02 21:49:00.213508
680,13,680,0,12,680,7.152557373046875e-07,2025-09-02 21:49:00.213511
681,65,39364,20,64,39364,7.152557373046875e-06,2025-09-02 21:49:00.213521
682,13,1024,2,12,1024,1.9073486328125e-06,2025-09-02 21:49:00.213524
683,39,3076,3,38,3076,5.0067901611328125e-06,2025-09-02 21:49:00.213531
